height_cm,weight_kg,preferred_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_heading_accuracy,skill_curve,skill_fk_accuracy,skill_long_passing,movement_agility,movement_balance,power_jumping,mentality_aggression,mentality_penalties,position
176,69,1,2,85.0,32.0,52.0,66.0,66.0,73.0,64,68,35,32,50,73,72,80,72,44,RB
188,80,1,2,73.0,33.0,51.0,51.0,72.0,71.0,35,67,31,37,56,60,58,59,64,44,CB
173,70,1,3,94.0,56.0,63.0,73.0,25.0,49.0,64,44,63,43,57,85,88,55,38,44,RM
188,75,1,3,63.0,67.0,66.0,69.0,61.0,72.0,55,66,54,48,70,64,63,72,64,55,CAM
181,66,0,3,79.0,72.0,61.0,74.0,30.0,63.0,61,61,73,70,50,76,73,56,59,70,RW
179,69,1,3,87.0,47.0,60.0,74.0,61.0,59.0,64,67,61,31,40,89,85,81,65,40,LB
176,67,1,4,83.0,63.0,62.0,74.0,27.0,56.0,67,41,67,34,58,90,78,52,65,44,LW
184,74,0,3,81.0,69.0,61.0,71.0,41.0,65.0,66,50,67,43,59,76,63,45,68,67,RM
174,71,1,3,80.0,49.0,59.0,66.0,65.0,67.0,64,62,62,33,57,63,67,59,62,41,RB
180,75,0,2,72.0,65.0,69.0,69.0,32.0,60.0,71,32,71,68,61,71,68,35,30,66,LM
175,75,0,2,71.0,70.0,60.0,67.0,23.0,68.0,32,68,39,58,64,69,60,65,28,71,ST
187,79,0,2,54.0,41.0,56.0,52.0,68.0,76.0,59,67,56,58,58,36,38,71,87,42,CB
180,75,1,3,82.0,68.0,55.0,73.0,28.0,70.0,56,64,46,29,36,87,76,82,48,65,ST
194,80,1,2,67.0,35.0,45.0,56.0,68.0,70.0,29,73,27,26,54,33,35,73,76,33,CB
172,75,0,3,71.0,71.0,66.0,73.0,27.0,65.0,63,56,56,35,72,72,69,66,32,54,ST
184,75,1,2,69.0,58.0,57.0,64.0,70.0,77.0,51,66,31,38,63,72,57,57,87,43,CDM
197,84,0,2,64.0,33.0,44.0,61.0,68.0,79.0,21,70,21,21,60,34,37,78,78,32,CB
176,69,1,3,86.0,69.0,59.0,76.0,31.0,43.0,57,49,64,38,42,79,60,43,34,48,ST
188,85,1,3,76.0,72.0,65.0,72.0,45.0,72.0,70,57,69,44,61,72,72,44,64,54,CF
182,75,0,3,67.0,47.0,62.0,66.0,69.0,68.0,65,67,66,35,59,67,65,71,59,42,LB
180,70,0,3,65.0,63.0,69.0,71.0,52.0,67.0,54,46,68,67,69,71,67,59,68,75,CAM
176,74,1,3,80.0,63.0,66.0,70.0,25.0,69.0,75,55,56,54,59,74,73,50,70,55,RW
179,66,0,3,81.0,69.0,65.0,71.0,44.0,63.0,59,48,64,64,59,75,75,72,40,59,CF
175,66,1,3,81.0,44.0,64.0,68.0,64.0,74.0,54,42,60,41,69,89,82,73,76,46,CDM
185,76,0,2,61.0,29.0,52.0,60.0,71.0,67.0,44,68,33,25,59,59,65,40,69,40,CB
180,75,1,3,77.0,37.0,59.0,69.0,66.0,71.0,67,70,51,36,63,84,66,69,75,42,RB
185,74,0,2,72.0,46.0,64.0,60.0,66.0,77.0,55,55,39,41,70,56,59,67,71,49,CDM
175,68,0,4,76.0,61.0,69.0,69.0,57.0,66.0,65,46,66,75,67,69,79,62,67,47,RM
169,65,0,3,75.0,33.0,60.0,68.0,65.0,66.0,70,44,36,27,57,67,86,58,69,37,LB
176,70,0,3,67.0,63.0,69.0,72.0,48.0,61.0,60,49,63,67,70,64,73,62,54,60,CAM
195,80,0,2,58.0,42.0,59.0,62.0,70.0,74.0,54,68,45,39,64,51,52,66,73,48,CB
179,71,0,3,69.0,64.0,69.0,73.0,57.0,62.0,66,52,59,47,73,73,65,54,53,56,CAM
178,73,0,2,79.0,32.0,62.0,69.0,64.0,61.0,72,51,64,44,60,79,78,60,64,35,LB
184,77,1,2,68.0,57.0,66.0,66.0,65.0,71.0,45,63,65,76,70,54,55,59,68,48,CDM
183,82,1,2,73.0,36.0,50.0,50.0,70.0,76.0,34,64,26,29,58,67,60,73,73,34,CB
180,79,1,3,76.0,71.0,61.0,71.0,34.0,73.0,58,64,70,39,57,72,74,77,68,63,ST
195,91,1,2,63.0,73.0,54.0,61.0,29.0,80.0,54,72,47,38,54,47,32,56,72,82,ST
175,70,0,3,80.0,63.0,66.0,70.0,37.0,53.0,69,45,54,45,65,77,72,45,40,56,LM
184,80,1,2,48.0,36.0,55.0,55.0,69.0,75.0,43,68,36,31,68,51,51,71,64,36,CB
170,68,1,2,69.0,54.0,62.0,68.0,65.0,71.0,53,45,50,53,63,78,86,60,86,46,CDM
179,78,1,2,61.0,57.0,61.0,65.0,66.0,75.0,49,58,39,40,68,67,64,66,81,59,CDM
180,73,1,3,72.0,70.0,65.0,71.0,50.0,60.0,57,58,65,55,68,69,66,53,44,59,CAM
180,71,1,2,79.0,50.0,57.0,69.0,65.0,66.0,65,58,42,34,50,72,67,60,65,44,RB
188,80,0,2,68.0,53.0,53.0,57.0,68.0,80.0,39,67,58,55,58,58,56,78,83,53,CB
179,70,0,3,60.0,70.0,71.0,71.0,16.0,57.0,63,21,64,75,70,66,74,43,35,68,CAM
184,80,1,3,79.0,68.0,63.0,73.0,32.0,64.0,53,59,65,41,58,69,72,55,44,48,CAM
178,66,1,2,69.0,54.0,66.0,67.0,70.0,55.0,66,57,60,43,68,65,76,64,73,55,CDM
175,72,1,2,77.0,36.0,52.0,69.0,67.0,75.0,59,58,38,32,50,72,76,65,77,40,RB
182,68,0,2,73.0,39.0,55.0,64.0,68.0,67.0,64,65,38,44,43,62,61,65,65,45,LB
165,66,1,3,87.0,62.0,64.0,70.0,53.0,63.0,69,51,65,66,59,82,86,86,72,64,LM
173,68,1,3,89.0,72.0,60.0,70.0,39.0,65.0,57,74,64,57,47,89,74,73,65,60,LM
180,70,0,3,87.0,48.0,59.0,63.0,65.0,70.0,70,59,55,49,56,75,73,73,64,49,LB
183,70,1,3,79.0,69.0,49.0,71.0,20.0,64.0,50,67,58,58,33,77,62,73,28,82,ST
180,75,1,4,83.0,62.0,63.0,72.0,33.0,50.0,67,42,55,45,61,76,75,45,40,69,LW
178,75,1,2,75.0,55.0,63.0,65.0,70.0,72.0,70,73,31,36,66,71,65,78,60,43,CB
176,72,1,2,91.0,67.0,64.0,70.0,61.0,73.0,64,55,68,67,62,82,80,73,68,45,RB
178,73,0,2,72.0,40.0,59.0,74.0,67.0,58.0,63,53,41,31,54,77,76,54,59,41,LB
181,83,1,2,81.0,31.0,46.0,55.0,70.0,75.0,38,69,30,30,49,65,65,86,68,40,CB
189,84,0,2,66.0,52.0,58.0,61.0,71.0,74.0,55,71,57,45,63,58,51,65,74,39,CB
179,72,1,3,81.0,70.0,58.0,69.0,24.0,70.0,51,67,45,41,55,82,66,76,52,72,ST
176,75,1,2,82.0,68.0,58.0,71.0,31.0,66.0,56,67,52,38,49,80,75,80,41,64,ST
172,72,1,3,71.0,67.0,67.0,71.0,52.0,61.0,70,54,68,70,66,73,77,63,54,58,RM
177,73,1,2,77.0,59.0,66.0,68.0,68.0,76.0,58,52,56,45,71,78,73,62,79,60,CM
182,68,1,3,62.0,56.0,66.0,67.0,68.0,63.0,59,62,43,32,74,69,62,69,63,49,CDM
169,65,0,3,88.0,61.0,67.0,74.0,58.0,69.0,73,39,76,71,63,88,81,73,76,60,LB
185,89,0,2,50.0,26.0,45.0,47.0,70.0,80.0,28,67,22,22,58,52,61,74,70,39,CB
188,75,1,2,68.0,68.0,50.0,66.0,29.0,81.0,34,77,47,22,52,62,68,80,81,74,ST
176,66,1,3,80.0,62.0,63.0,73.0,50.0,56.0,55,37,50,35,64,85,81,51,53,41,CAM
178,75,1,3,72.0,53.0,61.0,73.0,65.0,69.0,65,56,61,31,59,69,66,69,61,37,LM
170,60,1,3,85.0,53.0,70.0,70.0,60.0,52.0,75,54,74,65,68,77,85,52,48,41,RB
178,64,1,2,76.0,56.0,68.0,68.0,48.0,53.0,75,46,59,45,70,74,74,58,58,56,RM
182,73,1,2,64.0,47.0,65.0,69.0,67.0,64.0,56,57,48,46,68,61,70,56,70,52,CDM
177,71,1,3,81.0,69.0,70.0,72.0,60.0,74.0,64,63,69,70,70,80,84,72,72,65,CM
184,77,1,2,70.0,37.0,46.0,54.0,70.0,76.0,31,70,30,31,58,68,65,90,73,34,CB
172,72,0,2,75.0,57.0,61.0,67.0,66.0,62.0,69,40,56,60,69,73,79,55,70,45,LB
177,61,1,3,90.0,65.0,65.0,71.0,33.0,58.0,63,42,66,45,63,82,72,57,45,58,LW
188,82,1,2,42.0,55.0,71.0,61.0,62.0,82.0,72,54,69,58,74,57,50,72,81,53,CDM
184,76,1,2,71.0,30.0,50.0,52.0,71.0,72.0,56,68,25,24,42,67,77,69,66,36,CB
181,73,1,3,73.0,71.0,53.0,68.0,30.0,71.0,43,66,44,42,39,69,67,78,52,69,ST
185,71,1,2,66.0,51.0,57.0,55.0,70.0,83.0,48,74,33,30,62,58,59,83,78,40,CDM
187,81,1,2,61.0,49.0,66.0,65.0,69.0,73.0,61,65,60,56,64,66,46,75,64,57,CDM
186,82,1,2,64.0,35.0,46.0,51.0,69.0,79.0,38,71,39,29,52,59,52,89,78,36,CB
178,72,0,3,72.0,59.0,67.0,73.0,67.0,65.0,65,56,59,39,67,79,73,49,67,42,CM
175,72,0,4,79.0,57.0,62.0,77.0,42.0,61.0,69,38,68,41,47,84,84,53,63,57,RM
191,76,1,2,66.0,38.0,55.0,58.0,73.0,74.0,44,72,34,32,60,55,39,54,71,39,CDM
183,75,0,3,86.0,52.0,64.0,72.0,61.0,74.0,74,54,73,55,50,77,60,58,68,42,LB
173,62,1,2,84.0,45.0,58.0,65.0,63.0,68.0,58,70,49,44,57,77,83,85,59,48,RB
185,72,0,2,71.0,42.0,62.0,63.0,70.0,75.0,63,68,53,33,65,59,67,80,69,43,CB
185,75,1,3,73.0,70.0,46.0,72.0,22.0,63.0,41,62,52,31,38,72,63,72,54,70,ST
180,73,1,3,66.0,67.0,68.0,72.0,55.0,67.0,56,51,71,70,69,69,67,56,63,53,CM
174,70,0,2,74.0,52.0,60.0,65.0,67.0,62.0,65,69,42,35,54,66,76,62,62,50,LB
174,60,0,2,85.0,49.0,59.0,70.0,66.0,58.0,66,55,68,41,58,90,82,75,66,42,LB
169,68,1,3,70.0,57.0,72.0,73.0,58.0,65.0,60,54,64,47,72,79,84,62,71,49,CM
179,70,1,3,69.0,54.0,71.0,73.0,62.0,64.0,69,56,65,57,70,79,71,70,71,55,CM
180,73,0,3,83.0,59.0,65.0,68.0,60.0,72.0,67,65,66,44,60,71,66,68,67,41,RB
175,69,1,4,78.0,65.0,64.0,76.0,39.0,65.0,64,47,73,70,56,79,84,56,56,56,LM
178,83,1,2,59.0,42.0,57.0,58.0,67.0,65.0,72,65,41,39,59,64,63,58,40,52,RB
184,80,1,2,66.0,48.0,62.0,59.0,68.0,71.0,50,65,33,48,72,64,66,57,68,51,CDM
176,82,1,3,72.0,42.0,64.0,65.0,68.0,72.0,59,58,61,63,62,73,58,51,66,39,CDM
183,77,0,2,69.0,40.0,50.0,55.0,71.0,71.0,39,65,39,35,57,71,72,65,64,42,CB
176,82,1,2,80.0,37.0,50.0,59.0,65.0,86.0,56,48,47,29,47,55,72,71,72,39,RB
185,80,1,2,64.0,56.0,65.0,59.0,70.0,73.0,53,77,69,75,69,67,76,80,59,59,CB
178,72,0,2,76.0,63.0,68.0,69.0,66.0,68.0,70,56,72,70,69,75,72,69,67,62,LB
186,68,1,2,78.0,34.0,52.0,60.0,70.0,72.0,44,69,30,36,56,72,64,84,71,45,CB
180,73,0,2,64.0,64.0,65.0,67.0,63.0,58.0,49,38,58,56,74,64,54,51,52,53,CM
179,76,1,3,69.0,73.0,50.0,60.0,25.0,63.0,38,72,38,25,46,73,69,77,43,77,ST
181,83,1,3,82.0,44.0,64.0,67.0,63.0,70.0,70,54,59,27,63,72,66,58,70,37,RB
179,73,1,2,72.0,70.0,61.0,67.0,38.0,73.0,59,70,63,56,61,62,61,66,54,62,ST
182,80,1,2,59.0,43.0,53.0,60.0,70.0,72.0,32,73,34,23,63,56,68,71,66,45,CB
184,74,1,3,77.0,48.0,64.0,64.0,64.0,72.0,70,39,55,34,65,70,68,67,50,49,RB
180,77,1,4,71.0,72.0,56.0,68.0,31.0,65.0,46,69,60,56,38,70,65,71,63,74,ST
170,63,1,3,73.0,66.0,67.0,71.0,40.0,60.0,69,45,69,68,64,80,82,70,71,52,RM
188,80,0,2,76.0,50.0,62.0,63.0,68.0,75.0,55,68,39,56,71,59,60,70,72,58,CDM
180,74,1,4,69.0,63.0,62.0,71.0,57.0,69.0,42,58,40,49,65,64,65,69,66,59,CM
173,66,1,4,78.0,60.0,66.0,77.0,57.0,61.0,58,48,58,39,68,89,81,57,61,41,CM
181,72,1,3,74.0,65.0,66.0,71.0,58.0,72.0,59,62,62,53,70,74,74,70,67,64,CM
188,85,1,3,70.0,70.0,52.0,68.0,26.0,74.0,53,66,43,42,38,64,35,61,56,61,ST
174,68,1,3,66.0,55.0,68.0,70.0,67.0,62.0,59,57,52,55,72,65,77,62,71,65,CM
183,66,0,2,75.0,27.0,58.0,60.0,70.0,69.0,47,67,55,32,70,66,64,76,68,33,CB
185,72,1,2,73.0,41.0,55.0,60.0,71.0,69.0,44,73,58,43,60,69,65,78,70,49,CB
178,69,1,3,82.0,68.0,63.0,73.0,17.0,60.0,61,60,58,22,62,81,83,81,48,55,RW
177,73,0,2,77.0,61.0,67.0,71.0,64.0,68.0,72,58,76,59,62,69,78,65,66,56,LB
185,78,1,2,64.0,52.0,64.0,67.0,67.0,68.0,54,65,42,43,67,63,63,59,68,50,CDM
188,80,1,2,65.0,60.0,64.0,67.0,67.0,75.0,52,68,39,48,69,56,51,58,75,51,CDM
188,80,0,2,68.0,70.0,52.0,64.0,28.0,72.0,45,68,39,50,29,49,44,68,54,72,ST
175,72,1,2,77.0,49.0,59.0,69.0,63.0,68.0,67,55,59,37,50,82,70,65,64,45,RWB
180,67,0,2,73.0,50.0,65.0,69.0,66.0,70.0,72,65,60,41,65,63,67,71,70,52,LB
190,77,1,2,73.0,35.0,56.0,66.0,71.0,66.0,27,68,44,28,72,59,50,65,65,35,CB
172,73,1,2,70.0,62.0,67.0,70.0,65.0,68.0,59,61,61,59,72,68,80,61,71,58,CM
174,67,1,2,74.0,58.0,68.0,73.0,65.0,70.0,59,56,64,43,71,79,83,70,68,45,CDM
185,75,0,2,78.0,67.0,67.0,68.0,60.0,69.0,68,56,64,71,61,65,68,81,65,53,LM
180,77,1,4,77.0,69.0,57.0,71.0,25.0,69.0,53,74,58,53,45,81,73,78,63,66,ST
179,72,1,3,84.0,64.0,65.0,71.0,67.0,70.0,62,58,69,44,65,81,73,71,71,46,CDM
180,66,1,3,82.0,63.0,65.0,75.0,35.0,53.0,63,40,65,48,65,85,80,55,47,49,LW
179,73,0,2,78.0,62.0,64.0,70.0,64.0,68.0,70,61,57,40,61,71,67,66,73,47,LB
174,63,1,3,87.0,72.0,54.0,72.0,24.0,61.0,49,64,59,61,39,91,87,77,63,65,ST
183,75,0,3,67.0,60.0,62.0,68.0,68.0,69.0,46,51,41,47,70,55,61,61,73,52,CM
168,62,0,3,73.0,65.0,65.0,72.0,37.0,53.0,62,47,34,40,66,76,81,60,56,43,LM
182,75,1,2,77.0,56.0,59.0,68.0,69.0,77.0,58,64,43,41,63,76,80,82,81,49,CB
175,64,0,3,66.0,71.0,50.0,68.0,27.0,56.0,30,75,33,31,58,66,74,68,52,64,ST
182,73,1,2,68.0,37.0,47.0,54.0,73.0,68.0,31,70,27,24,54,55,63,66,75,36,CB
184,74,1,4,84.0,68.0,60.0,74.0,30.0,64.0,51,58,62,58,53,78,68,77,57,64,ST
170,64,0,4,78.0,61.0,63.0,76.0,31.0,44.0,60,36,61,48,63,75,85,40,38,59,RM
178,70,1,2,69.0,59.0,67.0,71.0,59.0,62.0,55,46,62,52,69,71,72,57,53,54,CM
179,67,1,3,83.0,65.0,60.0,75.0,37.0,56.0,58,41,65,67,49,91,75,51,41,61,LW
184,75,1,4,80.0,61.0,63.0,71.0,24.0,63.0,68,53,45,48,63,71,72,59,47,65,LM
171,65,1,3,77.0,67.0,64.0,73.0,33.0,52.0,67,61,70,50,57,67,83,48,45,65,RW
178,73,1,2,59.0,41.0,64.0,61.0,72.0,57.0,70,59,62,42,62,53,69,62,64,44,RB
168,62,1,3,77.0,66.0,63.0,75.0,34.0,56.0,65,39,64,42,58,90,91,55,34,52,RM
184,80,1,2,66.0,64.0,73.0,71.0,54.0,69.0,70,59,66,66,72,68,70,51,61,59,CM
187,81,0,2,57.0,51.0,56.0,57.0,70.0,71.0,51,69,48,31,59,62,55,75,66,67,CB
184,83,1,2,32.0,54.0,59.0,60.0,71.0,64.0,53,75,58,56,68,51,55,73,75,58,CB
187,85,1,3,38.0,71.0,61.0,65.0,44.0,76.0,49,80,63,57,47,48,55,53,75,70,ST
183,80,0,2,47.0,63.0,71.0,65.0,70.0,70.0,73,67,74,72,71,50,57,69,67,68,CB
185,80,1,2,50.0,52.0,53.0,54.0,69.0,78.0,48,70,43,63,53,60,73,82,70,74,CB
182,82,0,3,60.0,49.0,62.0,65.0,70.0,64.0,71,61,66,44,60,59,67,71,76,61,LB
175,70,0,3,49.0,68.0,64.0,66.0,68.0,77.0,64,70,58,65,67,54,71,82,89,72,CDM
188,85,1,3,52.0,71.0,63.0,66.0,29.0,71.0,65,74,53,43,58,66,54,79,58,78,ST
174,72,0,2,67.0,58.0,66.0,64.0,67.0,67.0,70,57,60,60,64,69,70,74,65,63,LB
173,67,1,2,50.0,50.0,72.0,69.0,63.0,80.0,76,36,67,72,69,71,78,81,87,62,CM
173,73,0,3,82.0,60.0,64.0,70.0,64.0,71.0,67,63,67,67,56,82,83,84,80,48,LWB
185,84,1,2,35.0,70.0,69.0,62.0,69.0,69.0,72,59,78,70,66,40,30,60,65,71,CDM
188,84,1,2,32.0,73.0,52.0,62.0,33.0,80.0,49,79,56,58,37,53,60,75,72,76,ST
183,74,1,2,32.0,72.0,59.0,65.0,47.0,74.0,54,73,60,52,49,60,76,62,71,71,ST
173,65,0,3,72.0,68.0,68.0,71.0,36.0,60.0,69,46,71,67,67,84,80,32,42,74,LM
175,66,1,3,78.0,61.0,73.0,72.0,57.0,60.0,74,49,73,71,70,88,83,58,72,70,CM
179,73,0,3,76.0,44.0,61.0,63.0,65.0,75.0,63,64,58,24,64,63,62,77,55,45,LB
185,85,1,2,34.0,37.0,48.0,48.0,68.0,78.0,20,71,22,41,61,33,47,74,80,36,CB
185,77,1,3,47.0,65.0,73.0,66.0,55.0,68.0,72,59,70,70,70,53,62,65,65,67,CM
173,70,1,3,75.0,71.0,58.0,67.0,42.0,60.0,57,63,62,48,43,67,72,62,50,69,ST
185,77,0,3,53.0,67.0,57.0,63.0,40.0,82.0,58,81,53,52,47,52,62,91,73,68,ST
184,80,1,2,53.0,54.0,61.0,57.0,71.0,72.0,49,61,61,59,66,53,62,81,68,55,CDM
173,71,0,3,68.0,64.0,70.0,68.0,59.0,75.0,72,47,54,68,70,81,81,78,70,51,CM
186,81,1,2,43.0,45.0,50.0,52.0,72.0,68.0,31,71,43,40,64,44,60,44,70,70,CB
180,76,0,3,63.0,61.0,71.0,67.0,62.0,69.0,67,50,73,75,69,72,56,52,68,58,CDM
170,64,0,3,63.0,60.0,68.0,66.0,65.0,66.0,68,37,66,67,67,69,81,68,69,73,LWB
184,80,1,3,79.0,56.0,60.0,66.0,63.0,73.0,64,62,62,58,57,66,69,57,66,48,LB
192,88,1,2,38.0,59.0,57.0,58.0,72.0,77.0,40,78,22,66,57,53,43,43,72,36,CDM
181,72,1,3,67.0,63.0,70.0,63.0,65.0,73.0,66,62,67,73,70,63,74,66,64,60,CDM
171,68,1,3,85.0,69.0,62.0,72.0,32.0,71.0,62,51,66,42,46,93,72,63,56,57,ST
173,73,1,2,57.0,59.0,66.0,68.0,69.0,62.0,70,61,67,48,65,62,77,62,75,60,RB
180,78,1,3,37.0,69.0,73.0,72.0,55.0,56.0,72,58,64,67,73,72,72,33,64,69,CM
186,81,1,3,76.0,69.0,66.0,67.0,59.0,76.0,69,62,62,64,66,64,66,46,70,71,RW
180,79,0,2,68.0,59.0,68.0,65.0,68.0,74.0,74,63,78,75,64,70,65,90,72,72,CB
190,78,1,3,60.0,65.0,62.0,63.0,68.0,85.0,50,76,62,59,65,71,46,90,72,52,CDM
186,86,1,2,60.0,33.0,45.0,43.0,71.0,69.0,40,73,32,28,45,57,58,82,70,30,CB
178,83,0,3,65.0,71.0,68.0,63.0,33.0,76.0,69,71,68,74,67,62,69,66,72,71,ST
179,70,1,2,52.0,43.0,55.0,55.0,69.0,78.0,57,67,29,29,65,65,72,90,73,49,CB
184,80,1,2,54.0,49.0,58.0,61.0,70.0,72.0,38,66,45,68,63,60,68,54,89,55,CB
185,71,1,2,60.0,70.0,53.0,63.0,39.0,62.0,56,74,46,32,40,65,65,76,34,72,ST
169,65,1,3,73.0,66.0,67.0,72.0,44.0,60.0,56,62,71,72,72,73,85,59,49,59,CAM
175,67,1,2,80.0,59.0,61.0,70.0,61.0,70.0,68,52,63,59,49,81,80,82,72,49,RB
188,80,1,3,52.0,70.0,67.0,70.0,31.0,73.0,64,72,69,60,64,63,64,76,72,73,ST
181,86,1,3,52.0,61.0,72.0,66.0,66.0,69.0,72,63,69,65,71,58,64,69,68,52,CDM
178,74,1,3,75.0,54.0,64.0,67.0,61.0,71.0,67,52,69,71,57,77,76,60,67,45,RB
185,82,1,2,43.0,75.0,68.0,67.0,59.0,72.0,63,79,66,70,66,54,60,76,65,72,CAM
178,75,1,3,71.0,61.0,65.0,68.0,65.0,72.0,67,66,59,53,64,70,59,71,76,68,RB
188,92,1,2,70.0,67.0,57.0,62.0,50.0,84.0,57,72,42,34,56,60,53,80,75,66,ST
185,74,1,3,73.0,66.0,65.0,70.0,53.0,63.0,69,51,63,53,60,74,62,66,55,68,RM
174,75,0,3,70.0,63.0,71.0,70.0,65.0,67.0,76,62,75,69,71,69,74,71,75,72,LB
180,74,1,2,60.0,70.0,52.0,66.0,31.0,66.0,42,72,58,46,47,67,77,82,61,73,ST
189,79,1,3,55.0,70.0,57.0,62.0,40.0,72.0,46,76,53,47,49,37,43,60,59,59,ST
188,83,0,3,55.0,55.0,61.0,66.0,70.0,71.0,64,66,66,53,60,69,55,70,60,49,CB
175,73,1,3,82.0,66.0,65.0,71.0,35.0,65.0,64,58,66,67,62,82,77,71,48,60,LM
193,93,1,3,54.0,70.0,69.0,70.0,41.0,73.0,71,72,68,62,62,70,55,85,43,71,LW
190,85,1,2,33.0,27.0,52.0,51.0,69.0,75.0,47,73,37,26,62,44,43,68,77,41,CB
179,72,1,3,70.0,65.0,70.0,68.0,63.0,72.0,71,59,70,59,69,66,54,57,81,73,RB
179,77,1,3,54.0,55.0,62.0,65.0,68.0,73.0,54,64,58,60,65,64,65,67,85,56,CDM
190,86,1,2,74.0,44.0,56.0,55.0,69.0,73.0,57,66,31,38,60,46,58,71,67,45,CB
178,75,1,2,62.0,50.0,64.0,68.0,68.0,73.0,67,59,67,53,58,70,72,79,74,51,RB
180,69,0,3,58.0,67.0,71.0,73.0,32.0,59.0,72,22,75,75,66,75,74,51,73,74,CAM
183,75,1,3,63.0,70.0,71.0,69.0,65.0,63.0,74,52,75,74,70,67,70,71,60,72,RM
176,72,1,3,72.0,64.0,68.0,71.0,27.0,59.0,70,56,66,73,66,77,73,72,39,56,RM
170,67,1,3,74.0,58.0,66.0,69.0,65.0,70.0,64,55,69,54,66,77,77,78,69,53,RB
176,68,1,3,66.0,56.0,63.0,67.0,69.0,66.0,60,65,69,44,62,67,71,72,71,54,LB
175,70,1,3,66.0,55.0,67.0,70.0,68.0,73.0,60,60,60,55,70,70,78,59,73,57,CM
185,79,1,2,50.0,56.0,63.0,53.0,70.0,70.0,60,68,66,70,69,48,38,75,74,65,CB
186,78,1,3,64.0,70.0,70.0,69.0,65.0,74.0,68,67,72,75,66,65,77,72,68,68,CM
185,79,1,2,49.0,47.0,54.0,50.0,69.0,76.0,48,70,38,42,55,43,51,80,68,50,CB
188,79,1,3,76.0,68.0,56.0,69.0,38.0,69.0,53,60,48,67,45,74,55,35,50,79,ST
178,70,1,3,57.0,68.0,74.0,68.0,65.0,73.0,71,55,80,72,73,63,78,66,65,73,RB
187,86,1,2,40.0,28.0,45.0,50.0,69.0,78.0,44,70,25,13,53,57,36,81,71,22,CB
183,79,0,2,57.0,42.0,62.0,61.0,69.0,74.0,49,68,34,35,74,59,65,68,69,61,CB
176,69,0,4,59.0,63.0,66.0,70.0,62.0,66.0,58,46,69,63,68,76,73,49,71,61,CDM
183,80,0,3,78.0,60.0,66.0,65.0,60.0,79.0,69,59,56,60,61,68,69,78,70,57,LB
173,65,1,3,87.0,62.0,61.0,73.0,37.0,47.0,65,44,57,50,53,90,83,43,38,58,LM
186,82,1,3,54.0,68.0,69.0,66.0,67.0,74.0,70,72,73,71,72,60,53,80,72,74,CM
176,70,1,3,70.0,68.0,68.0,72.0,40.0,54.0,66,63,67,65,70,69,72,65,57,67,CAM
192,92,1,2,70.0,68.0,53.0,61.0,28.0,85.0,51,72,44,41,50,55,48,76,82,64,ST
190,80,1,2,51.0,35.0,54.0,48.0,66.0,78.0,35,68,28,35,63,29,28,72,72,37,CB
168,62,1,4,71.0,58.0,61.0,75.0,35.0,58.0,72,34,51,68,60,75,83,56,42,71,LM
168,64,1,4,89.0,64.0,63.0,72.0,45.0,47.0,60,31,72,64,62,86,88,59,49,57,LM
188,82,1,3,58.0,68.0,63.0,64.0,70.0,79.0,54,77,52,40,66,62,62,90,74,57,CM
171,60,1,3,70.0,64.0,70.0,73.0,66.0,58.0,76,49,74,56,69,78,86,72,69,59,RB
178,70,1,3,70.0,57.0,64.0,68.0,65.0,75.0,59,70,59,52,65,71,72,91,70,43,RB
185,75,1,2,54.0,36.0,54.0,61.0,70.0,73.0,53,70,33,20,55,61,68,75,65,42,CB
180,82,1,2,50.0,44.0,50.0,49.0,69.0,71.0,45,74,44,47,57,50,45,88,72,40,CB
180,76,1,3,67.0,63.0,69.0,73.0,57.0,69.0,70,59,68,69,64,76,62,67,56,53,LW
175,71,1,3,76.0,52.0,62.0,67.0,65.0,69.0,69,59,69,29,60,72,72,76,66,48,RB
180,72,1,2,65.0,56.0,62.0,64.0,69.0,75.0,68,72,45,30,67,63,67,81,86,60,CDM
188,86,0,2,51.0,58.0,55.0,58.0,68.0,78.0,49,70,58,50,60,61,52,82,75,62,CB
184,75,1,4,68.0,68.0,65.0,70.0,34.0,69.0,64,73,67,51,62,80,67,71,69,70,ST
182,77,1,2,63.0,51.0,60.0,64.0,69.0,76.0,49,72,44,64,67,66,59,81,69,63,CB
179,70,0,3,70.0,48.0,62.0,67.0,64.0,69.0,66,54,61,55,58,70,73,59,56,42,LWB
172,72,1,3,67.0,54.0,60.0,63.0,72.0,65.0,56,65,57,59,62,64,72,48,80,49,CDM
178,73,1,3,68.0,69.0,67.0,72.0,46.0,70.0,68,56,75,74,62,71,70,68,76,69,RW
184,80,1,2,46.0,31.0,50.0,49.0,70.0,75.0,43,73,30,25,58,32,44,69,64,38,CB
184,81,0,3,59.0,67.0,69.0,68.0,45.0,69.0,64,54,69,64,69,67,66,31,54,66,CAM
175,72,0,3,77.0,38.0,62.0,61.0,65.0,66.0,70,57,48,59,69,73,71,72,66,50,LB
184,81,1,2,63.0,30.0,54.0,60.0,68.0,69.0,53,71,33,30,57,61,56,72,82,37,CB
178,73,1,2,64.0,48.0,56.0,61.0,68.0,78.0,53,68,50,53,56,67,65,81,78,58,CB
